item code,item label,item type,item status,text type,text content,text type,text content,media url,price currencyid,price quantity,price value,price tax rate,attribute code,attribute type,subproduct code,product list type,property value,property type,catalog code,catalog list type
"7604-1136, 7604-1137, 7604-1135",Botas gore-tex gran torino negro ALPINESTARS,default,1,short,Botas gore-tex gran torino negro ALPINESTARS,long,long selection description,products/406-botas-gore-tex-gran-torino-negro-alpinestars-1.jpg,MXN,1,7889,7889,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1229, 7604-1230, 7604-1232",Botas gore-tex toucan negro ALPINESTARS,default,1,short,Botas gore-tex toucan negro ALPINESTARS,long,long selection description,products/403-botas-gore-tex-toucan-negro-alpinestars-1.jpg;products/403-botas-gore-tex-toucan-negro-alpinestars-2.jpg,MXN,1,11998,11998,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1145, 7604-1146, 7604-1147",Botas gore-tex web negro ALPINESTARS,default,1,short,Botas gore-tex web negro ALPINESTARS,long,long selection description,products/405-botas-gore-tex-web-negro-alpinestars-1.jpg;products/405-botas-gore-tex-web-negro-alpinestars-2.jpg,MXN,1,7496,7496,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
7604-1286,Botas mujer contra agua vika negro ALPINESTARS,default,1,short,Botas mujer contra agua vika negro ALPINESTARS,long,long selection description,products/439-botas-mujer-contra-agua-vika-negro-alpinestars-1.jpg;products/439-botas-mujer-contra-agua-vika-negro-alpinestars-2.jpg,MXN,1,6092,6092,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1284, 7604-1285",Botas mujer gore-tex stella gran torino negro ALPINESTARS,default,1,short,Botas mujer gore-tex stella gran torino negro ALPINESTARS,long,long selection description,products/404-botas-mujer-gore-tex-stella-gran-torino-negro-alpinestars-1.jpg;products/404-botas-mujer-gore-tex-stella-gran-torino-negro-alpinestars-2.jpg,MXN,1,8511,8511,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1219, 7604-1220, 7604-1221",Botas para motocross junior tech 6 S blanco ALPINESTARS,default,1,short,Botas para motocross junior tech 6 S blanco ALPINESTARS,long,long selection description,products/428-botas-para-motocross-junior-tech-6-s-blanco-alpinestars-1.jpg;products/428-botas-para-motocross-junior-tech-6-s-blanco-alpinestars-2.jpg,MXN,1,4137,4137,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1331, 7604-1332, 7604-1333","Botas para motocross junior tech 6 S blanco,rojo ALPINESTARS",default,1,short,"Botas para motocross junior tech 6 S blanco,rojo ALPINESTARS",long,long selection description,products/429-botas-para-motocross-junior-tech-6-s-blanco-rojo-alpinestars-1.jpg;products/429-botas-para-motocross-junior-tech-6-s-blanco-rojo-alpinestars-2.jpg,MXN,1,3294,3294,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1278, 7604-1279, 7604-1280, 7604-1281, 7604-1282",Botas para motocross tech 1 negro ALPINESTARS,default,1,short,Botas para motocross tech 1 negro ALPINESTARS,long,long selection description,products/424-botas-para-motocross-tech-1-negro-alpinestars-1.jpg;products/424-botas-para-motocross-tech-1-negro-alpinestars-2.jpg,MXN,1,3294,3294,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1015, 7604-1016",Botas para motocross tech 10 blanco ALPINESTARS,default,1,short,Botas para motocross tech 10 blanco ALPINESTARS,long,long selection description,products/435-botas-para-motocross-tech-10-blanco-alpinestars-1.jpg;products/435-botas-para-motocross-tech-10-blanco-alpinestars-2.jpg,MXN,1,9547,9547,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
"7604-1324, 7604-1325, 7604-1326, 7604-1443, 7604-1442",Botas para motocross tech 10 fluo amarillo ALPINESTARS,default,1,short,Botas para motocross tech 10 fluo amarillo ALPINESTARS,long,long selection description,products/436-botas-para-motocross-tech-10-fluo-amarillo-alpinestars-1.jpg;products/436-botas-para-motocross-tech-10-fluo-amarillo-alpinestars-2.jpg,MXN,1,9547,9547,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
